#         t          x          y          z         vx         vy         vz
      6.929     15.000    127.710    -19.090     -8.110    231.360    -89.830
      7.000     15.500    143.840    -23.520     19.790    216.570    -37.570
      7.071     17.470    158.520    -24.660     39.330    195.260      4.150
      7.143     21.080    171.690    -23.190     55.180    172.510     36.190
      7.214     25.410    182.980    -19.750     66.210    145.860     62.150
      7.286     30.460    192.430    -14.340     77.240    119.970     85.980
      7.357     36.240    199.940     -7.610     85.850     91.230    104.280
      7.429     42.680    205.410      0.480     93.250     64.460    121.330
      7.500     49.540    208.970      9.620     99.230     32.720    134.490
      7.571     56.760    210.330     19.580    103.350      2.690    144.650
      7.643     64.140    209.350     30.210    103.240    -29.860    153.590
      7.714     71.600    206.000     41.520    102.660    -64.650    161.590
      7.786     78.920    200.130     53.100    104.920   -101.470    162.880
      7.857     86.310    191.540     64.730    102.300   -140.140    161.730
      7.929     93.640    179.900     76.160     96.010   -186.160    156.800
      8.000    100.260    165.050     86.920     89.770   -231.280    142.980
      8.071    106.070    146.540     96.280     72.860   -283.660    115.400
      8.143    110.340    124.710    103.010     45.610   -328.100     67.990
      8.214    112.440    100.320    105.360     10.080   -353.010     -5.300
      8.286    111.520     75.610    102.010    -36.070   -327.960    -88.900
      8.357    107.570     54.300     93.260    -72.330   -263.550   -149.310
      8.429    101.840     38.220     81.350    -84.440   -187.380   -178.410
      8.500     95.640     27.570     68.290    -86.690   -115.420   -181.250
      8.571     89.520     21.610     55.640    -80.690    -51.920   -172.460
      8.643     84.160     19.670     43.940    -74.500     -4.730   -153.280
      8.714     79.310     20.890     33.980    -57.380     37.470   -126.280
      8.786     75.770     24.810     26.050    -40.820     70.340    -96.870
      8.857     73.560     30.750     20.210    -23.130     95.220    -65.140
      8.929     72.800     38.320     16.860     -1.150    116.070    -29.980
      9.000     73.180     47.160     15.800     16.780    131.780      3.570
      9.071     75.150     56.950     17.340     37.540    140.550     40.920
      9.143     78.610     67.190     21.710     61.270    143.800     83.840
      9.214     83.940     77.410     29.270     85.340    140.510    127.810
      9.286     91.120     87.050     40.040    116.260    128.080    175.520
      9.357    100.680     95.230     54.630    149.480     97.480    229.620
      9.429    112.630    100.190     73.140    179.850     37.870    281.290
      9.500    126.640     99.880     94.150    208.750    -55.670    310.120
      9.571    141.770     91.630    115.880    204.910   -173.210    287.180
      9.643    155.300     76.220    133.690    166.230   -245.890    206.290
      9.714    165.550     57.940    145.540    119.580   -259.340    125.400
      9.786    172.390     39.910    152.010     75.870   -242.270     59.910
      9.857    176.680     23.680    154.600     44.250   -211.900     11.680
      9.929    178.720      9.690    154.000     14.090   -179.000    -25.460
     10.000    178.960     -1.650    150.930     -7.690   -141.010    -58.200
     10.071    177.640    -10.160    145.810    -30.150    -99.490    -84.800
     10.143    174.800    -15.630    139.150    -47.350    -54.120   -103.660
     10.214    170.930    -17.770    131.240    -62.370     -1.900   -119.520
     10.286    165.890    -15.940    122.420    -74.710     53.800   -123.990
     10.357    160.090     -9.790    113.500    -85.400    119.270   -124.260
     10.429    154.080      1.440    105.220    -83.160    195.100   -103.630
     10.500    148.750     18.200     99.510    -60.350    274.340    -50.730
     10.571    146.360     39.910     99.110     -1.830    317.700     42.970
     10.643    148.820     61.540    105.650     67.450    274.330    135.320
     10.714    155.380     78.250    117.250    112.270    192.660    180.020
     10.786    164.440     89.060    130.730    135.370    108.510    192.790
     10.857    174.380     94.270    144.300    141.750     36.830    186.160
     10.929    184.520     94.720    157.050    137.510    -22.460    169.990
     11.000    194.180     91.040    168.330    131.820    -78.580    144.640
     11.071    203.000     83.660    177.590    117.560   -124.560    113.740
     11.143    210.640     73.190    184.360     96.540   -166.380     78.060
     11.214    216.370     60.100    188.330     66.270   -198.590     34.010
     11.286    219.900     45.060    188.940     31.220   -222.500    -14.520
     11.357    220.630     28.690    185.630    -12.080   -234.280    -77.900
     11.429    217.750     12.270    177.590    -69.460   -219.010   -146.570
